# Setup from log.interADMFoam
# Benchmark: false
# Qin_: 0
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 3.33333e-23
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
4.56798,1.29789e-07,0.051948,9.01485,1.10225e-05,-1.82317e-10,1.65383,6.28434e-06,13.4567,-0.000797864
4.66799,1.29793e-07,0.0519483,9.01496,1.10223e-05,-1.823e-10,1.65383,6.28455e-06,13.4558,-0.000796151
4.76799,1.29796e-07,0.0519485,9.01506,1.10221e-05,-1.82283e-10,1.65384,6.28462e-06,13.4549,-0.000794472
4.86799,1.298e-07,0.0519488,9.01516,1.10219e-05,-1.82263e-10,1.65385,6.28471e-06,13.454,-0.000792801
4.968,1.29806e-07,0.051949,9.01525,1.10217e-05,-1.82241e-10,1.65385,6.28481e-06,13.4531,-0.000791134
5.068,1.29812e-07,0.0519492,9.01534,1.10215e-05,-1.82218e-10,1.65386,6.28475e-06,13.4522,-0.00078949
5.168,1.29818e-07,0.0519495,9.01544,1.10213e-05,-1.82194e-10,1.65387,6.28489e-06,13.4513,-0.000787829
5.268,1.29825e-07,0.0519497,9.01553,1.10211e-05,-1.8217e-10,1.65387,6.28492e-06,13.4504,-0.000786186
5.368,1.29832e-07,0.0519499,9.01562,1.10209e-05,-1.82145e-10,1.65388,6.28495e-06,13.4495,-0.000784543
5.468,1.29838e-07,0.0519503,9.01571,1.10207e-05,-1.82123e-10,1.65389,6.28517e-06,13.4486,-0.000782889
5.568,1.29842e-07,0.0519505,9.0158,1.10205e-05,-1.82105e-10,1.6539,6.28528e-06,13.4478,-0.000781257
5.668,1.29845e-07,0.0519507,9.01589,1.10203e-05,-1.82087e-10,1.6539,6.28527e-06,13.4469,-0.000779632
5.768,1.2985e-07,0.051951,9.01599,1.10201e-05,-1.82068e-10,1.65391,6.28553e-06,13.446,-0.000777983
5.868,1.29854e-07,0.0519514,9.01608,1.10199e-05,-1.82049e-10,1.65392,6.28581e-06,13.4451,-0.000776344
5.968,1.29858e-07,0.0519516,9.01617,1.10196e-05,-1.82031e-10,1.65392,6.2858e-06,13.4442,-0.000774735
6.068,1.29863e-07,0.0519518,9.01625,1.10194e-05,-1.8201e-10,1.65393,6.28589e-06,13.4434,-0.000773119
6.168,1.2987e-07,0.0519521,9.01634,1.10192e-05,-1.81984e-10,1.65394,6.28602e-06,13.4425,-0.0007715
6.268,1.29879e-07,0.0519524,9.01643,1.1019e-05,-1.81956e-10,1.65395,6.28612e-06,13.4416,-0.000769902
6.368,1.29886e-07,0.0519525,9.0165,1.10188e-05,-1.81929e-10,1.65395,6.28597e-06,13.4407,-0.000768331
6.468,1.29891e-07,0.0519528,9.01659,1.10186e-05,-1.81908e-10,1.65396,6.28616e-06,13.4399,-0.000766722
6.568,1.29896e-07,0.0519531,9.01668,1.10184e-05,-1.81888e-10,1.65397,6.28639e-06,13.439,-0.000765118
6.668,1.299e-07,0.0519533,9.01676,1.10182e-05,-1.81869e-10,1.65397,6.28633e-06,13.4381,-0.000763543
6.768,1.29905e-07,0.0519536,9.01685,1.1018e-05,-1.8185e-10,1.65398,6.28656e-06,13.4373,-0.000761937
6.868,1.29909e-07,0.0519538,9.01693,1.10178e-05,-1.8183e-10,1.65399,6.28657e-06,13.4364,-0.000760368
6.968,1.29915e-07,0.0519541,9.01702,1.10176e-05,-1.81808e-10,1.654,6.28671e-06,13.4355,-0.000758774
7.068,1.29924e-07,0.0519543,9.0171,1.10174e-05,-1.81778e-10,1.654,6.28675e-06,13.4347,-0.00075719
7.168,1.2993e-07,0.0519547,9.0172,1.10172e-05,-1.81755e-10,1.65401,6.28702e-06,13.4338,-0.000755595
7.268,1.29935e-07,0.051955,9.01728,1.1017e-05,-1.81735e-10,1.65402,6.2872e-06,13.433,-0.000754022
7.368,1.2994e-07,0.0519553,9.01736,1.10168e-05,-1.81714e-10,1.65402,6.28742e-06,13.4321,-0.000752457
7.468,1.29945e-07,0.0519555,9.01744,1.10166e-05,-1.81695e-10,1.65403,6.28746e-06,13.4313,-0.000750912
7.568,1.2995e-07,0.0519558,9.01753,1.10164e-05,-1.81672e-10,1.65404,6.2877e-06,13.4304,-0.000749334
7.668,1.29957e-07,0.051956,9.0176,1.10161e-05,-1.81648e-10,1.65405,6.28771e-06,13.4296,-0.0007478
7.768,1.29963e-07,0.0519563,9.01769,1.10159e-05,-1.81626e-10,1.65405,6.28795e-06,13.4287,-0.000746242
7.868,1.29967e-07,0.0519566,9.01776,1.10157e-05,-1.81607e-10,1.65406,6.28799e-06,13.4279,-0.000744706
7.968,1.29972e-07,0.0519568,9.01784,1.10155e-05,-1.81586e-10,1.65407,6.28813e-06,13.427,-0.000743172
8.068,1.29978e-07,0.0519573,9.01792,1.10153e-05,-1.81563e-10,1.65407,6.28871e-06,13.4262,-0.000741636
8.168,1.29982e-07,0.0519575,9.01801,1.10151e-05,-1.81545e-10,1.65408,6.28872e-06,13.4253,-0.000740073
8.268,1.29986e-07,0.0519578,9.01808,1.10149e-05,-1.81527e-10,1.65409,6.28881e-06,13.4245,-0.000738565
