"T","TMean","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","alphat","epsilon","k","nut","nutMean","p","p_rgh","p_rghMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
300,300,2.5532e-06,-3.6113e-09,1.4045,4.591e-06,-8.7544e-08,1.4144,3.7141e-10,1.39e-12,0.0029267,-1.6478e-11,3.4849e-08,-6.2194e-07,0.18222,0.013563,0.14507,0.15489,0.16,99981,1e+05,1e+05,0,0,0,0,1,1.9,125,1.9,200
300,300,2.6206e-06,-5.8814e-09,1.4336,4.6643e-06,-9.3464e-08,1.4436,3.7795e-10,1.553e-12,0.0030047,-1.7643e-11,3.781e-08,-6.3732e-07,0.19166,0.012705,0.14462,0.16291,0.16838,99980,1e+05,1e+05,0,0,0,0,1,2,125,2,200
300,300,2.6881e-06,-8.1515e-09,1.4628,4.7376e-06,-9.9384e-08,1.4728,3.8449e-10,1.7159e-12,0.0030826,-1.8808e-11,4.0771e-08,-6.527e-07,0.20109,0.011847,0.14418,0.17093,0.17676,99979,1e+05,1e+05,0,0,0,0,1,2.1,125,2.1,200
300,300,2.7555e-06,-1.0422e-08,1.4919,4.8109e-06,-1.053e-07,1.502,3.9104e-10,1.8789e-12,0.0031606,-1.9973e-11,4.3732e-08,-6.6808e-07,0.21053,0.010988,0.14373,0.17895,0.18513,99978,1e+05,1e+05,0,0,0,0,1,2.2,125,2.2,200
300,300,2.8067e-06,-1.2717e-08,1.5156,4.8664e-06,-1.1139e-07,1.5258,3.9575e-10,2.1082e-12,0.0032101,-2.1169e-11,4.6851e-08,-6.7764e-07,0.21992,0.010413,0.14339,0.18693,0.1935,99977,1e+05,1e+05,0,0,0,0,1,2.3,125,2.3,200
300,300,2.845e-06,-1.5033e-08,1.535,4.908e-06,-1.1761e-07,1.5451,3.9901e-10,2.3897e-12,0.0032373,-2.239e-11,5.0093e-08,-6.8263e-07,0.22928,0.010059,0.14312,0.19489,0.20186,99976,1e+05,1e+05,0,0,0,0,1,2.4,125,2.4,200
300,300,2.8833e-06,-1.7349e-08,1.5543,4.9496e-06,-1.2383e-07,1.5645,4.0227e-10,2.6713e-12,0.0032645,-2.361e-11,5.3336e-08,-6.8763e-07,0.23864,0.0097054,0.14286,0.20284,0.21022,99975,1e+05,1e+05,0,0,0,0,1,2.5,125,2.5,200
300,300,2.9217e-06,-1.9665e-08,1.5737,4.9911e-06,-1.3005e-07,1.5839,4.0553e-10,2.9528e-12,0.0032917,-2.4831e-11,5.6578e-08,-6.9262e-07,0.248,0.0093518,0.1426,0.2108,0.21857,99974,1e+05,1e+05,0,0,0,0,1,2.6,125,2.6,200
300,300,2.96e-06,-2.1981e-08,1.593,5.0327e-06,-1.3627e-07,1.6032,4.088e-10,3.2343e-12,0.0033189,-2.6051e-11,5.982e-08,-6.9761e-07,0.25735,0.0089981,0.14234,0.21875,0.22693,99973,1e+05,1e+05,0,0,0,0,1,2.7,125,2.7,200
300,300,2.9983e-06,-2.4297e-08,1.6123,5.0743e-06,-1.4249e-07,1.6226,4.1206e-10,3.5158e-12,0.0033461,-2.7271e-11,6.3062e-08,-7.0261e-07,0.26671,0.0086445,0.14207,0.22671,0.23529,99972,1e+05,1e+05,0,0,0,0,1,2.8,125,2.8,200
