# Setup from log.interADMFoam
# Benchmark: true
# Qin_: 178.467
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 1.92901e-08
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sac,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
4.16796,0.0458118,1.29777e-07,0.0519467,9.01449,1.1019e-05,-1.82187e-10,1.65314,6.32884e-06,13.4551,-0.000796153
4.26797,0.0458119,1.2978e-07,0.0519469,9.01457,1.10186e-05,-1.82166e-10,1.65313,6.33e-06,13.4541,-0.000794311
4.36797,0.0458121,1.29784e-07,0.0519472,9.01465,1.10183e-05,-1.82145e-10,1.65312,6.33118e-06,13.4531,-0.000792473
4.46798,0.0458122,1.29787e-07,0.0519474,9.01473,1.1018e-05,-1.82125e-10,1.65311,6.33236e-06,13.452,-0.000790639
4.56798,0.0458123,1.29789e-07,0.0519476,9.01481,1.10177e-05,-1.82105e-10,1.6531,6.3334e-06,13.451,-0.000788824
4.66799,0.0458124,1.29792e-07,0.0519479,9.01489,1.10174e-05,-1.82084e-10,1.65309,6.33456e-06,13.45,-0.000786999
4.76799,0.0458126,1.29796e-07,0.0519482,9.01497,1.10171e-05,-1.82062e-10,1.65308,6.33585e-06,13.449,-0.000785167
4.86799,0.0458126,1.298e-07,0.0519483,9.01504,1.10168e-05,-1.82039e-10,1.65308,6.33672e-06,13.448,-0.000783367
4.968,0.0458127,1.29806e-07,0.0519485,9.01512,1.10165e-05,-1.82012e-10,1.65307,6.33782e-06,13.447,-0.000781542
5.068,0.0458128,1.29812e-07,0.0519488,9.0152,1.10162e-05,-1.81984e-10,1.65306,6.33894e-06,13.4459,-0.000779731
5.168,0.0458131,1.29818e-07,0.0519491,9.01529,1.10158e-05,-1.81956e-10,1.65305,6.34032e-06,13.4449,-0.000777911
5.268,0.0458133,1.29826e-07,0.0519494,9.01538,1.10155e-05,-1.81926e-10,1.65304,6.34165e-06,13.4439,-0.000776061
5.368,0.0458134,1.29832e-07,0.0519497,9.0155,1.10152e-05,-1.81896e-10,1.65303,6.3428e-06,13.4429,-0.000774183
5.468,0.0458134,1.29838e-07,0.0519498,9.01558,1.10149e-05,-1.8187e-10,1.65303,6.3437e-06,13.4419,-0.000772367
5.568,0.0458137,1.29842e-07,0.0519502,9.01569,1.10146e-05,-1.81848e-10,1.65302,6.3451e-06,13.4409,-0.000770513
5.668,0.0458138,1.29845e-07,0.0519504,9.01578,1.10143e-05,-1.81825e-10,1.65301,6.3462e-06,13.4399,-0.000768696
5.768,0.0458138,1.29849e-07,0.0519506,9.01586,1.1014e-05,-1.81804e-10,1.653,6.34721e-06,13.4389,-0.000766892
5.868,0.045814,1.29853e-07,0.0519509,9.01596,1.10137e-05,-1.81781e-10,1.65299,6.34844e-06,13.4379,-0.000765075
5.968,0.0458141,1.29857e-07,0.0519511,9.01604,1.10134e-05,-1.81758e-10,1.65298,6.34951e-06,13.4369,-0.000763279
6.068,0.0458142,1.29862e-07,0.0519513,9.01613,1.10131e-05,-1.81733e-10,1.65298,6.35067e-06,13.4359,-0.00076148
6.168,0.0458143,1.29868e-07,0.0519516,9.01622,1.10127e-05,-1.81704e-10,1.65297,6.35174e-06,13.435,-0.000759688
6.268,0.0458144,1.29877e-07,0.0519518,9.0163,1.10124e-05,-1.81671e-10,1.65296,6.35287e-06,13.434,-0.000757909
6.368,0.0458145,1.29885e-07,0.051952,9.01638,1.10121e-05,-1.81639e-10,1.65295,6.35391e-06,13.433,-0.000756149
6.468,0.0458145,1.2989e-07,0.0519522,9.01646,1.10118e-05,-1.81613e-10,1.65294,6.35498e-06,13.432,-0.000754382
6.568,0.0458148,1.29895e-07,0.0519525,9.01655,1.10115e-05,-1.81588e-10,1.65293,6.35623e-06,13.431,-0.000752602
6.668,0.0458148,1.299e-07,0.0519527,9.01663,1.10112e-05,-1.81564e-10,1.65293,6.35728e-06,13.4301,-0.000750841
