# y+ ()           
# Time            	patch             	min               	max               	average           
356               	movingWall	6.1410339556e-01	2.7582360048e+00	1.0351558489e+00
356               	fixedWalls	1.6945523800e-03	2.1781205792e+00	3.0461391595e-01
358               	movingWall	6.0861185230e-01	2.7582407667e+00	1.0335079403e+00
358               	fixedWalls	2.2201568967e-03	2.1780938003e+00	3.0607156008e-01
360               	movingWall	6.1816532904e-01	2.7582838355e+00	1.0349328532e+00
360               	fixedWalls	1.0818818405e-03	2.1771478616e+00	3.0377660873e-01
362               	movingWall	6.1011873517e-01	2.7582148577e+00	1.0345590809e+00
362               	fixedWalls	1.1313061021e-03	2.1785478557e+00	3.0753682106e-01
364               	movingWall	6.1181592220e-01	2.7582622825e+00	1.0337230546e+00
364               	fixedWalls	1.7093234595e-03	2.1776148266e+00	3.0678614266e-01
366               	movingWall	6.1839875808e-01	2.7582635062e+00	1.0356220110e+00
366               	fixedWalls	6.7608869737e-04	2.1776342007e+00	3.0133945249e-01
368               	movingWall	6.0768005355e-01	2.7582160691e+00	1.0339486846e+00
368               	fixedWalls	1.5298794748e-03	2.1785077338e+00	3.0626006549e-01
370               	movingWall	6.1678526427e-01	2.7582802924e+00	1.0344138674e+00
370               	fixedWalls	9.6872744622e-04	2.1771652000e+00	3.0721997759e-01
372               	movingWall	6.1380967489e-01	2.7582390335e+00	1.0351366692e+00
372               	fixedWalls	2.1543668073e-03	2.1781176756e+00	3.0536023545e-01
374               	movingWall	6.0820155647e-01	2.7582417465e+00	1.0334356396e+00
374               	fixedWalls	1.8635495075e-03	2.1781365632e+00	3.0692398653e-01
376               	movingWall	6.1838311334e-01	2.7582836406e+00	1.0350496052e+00
376               	fixedWalls	9.3026188849e-04	2.1771552017e+00	3.0460912174e-01
378               	movingWall	6.0997223036e-01	2.7582131861e+00	1.0346462237e+00
378               	fixedWalls	1.3097119302e-03	2.1786228886e+00	3.0850195867e-01
380               	movingWall	6.1248959477e-01	2.7582624343e+00	1.0338909766e+00
380               	fixedWalls	1.6047108701e-03	2.1775918664e+00	3.0805648624e-01
382               	movingWall	6.1827872206e-01	2.7582645758e+00	1.0356360613e+00
382               	fixedWalls	6.6616871610e-04	2.1776502807e+00	3.0219743786e-01
384               	movingWall	6.0734001590e-01	2.7582189655e+00	1.0338793358e+00
384               	fixedWalls	2.5530407195e-03	2.1784871284e+00	3.0643797879e-01
386               	movingWall	6.1680183497e-01	2.7582848859e+00	1.0343549476e+00
386               	fixedWalls	7.6767033106e-04	2.1770878708e+00	3.0739393842e-01
388               	movingWall	6.1308675890e-01	2.7582349868e+00	1.0351127053e+00
388               	fixedWalls	1.6752056274e-03	2.1782270773e+00	3.0602865822e-01
390               	movingWall	6.0832765454e-01	2.7582446011e+00	1.0334371502e+00
390               	fixedWalls	2.1906089534e-03	2.1780929372e+00	3.0736251834e-01
392               	movingWall	6.1908272156e-01	2.7582794613e+00	1.0353651167e+00
392               	fixedWalls	3.9166191432e-04	2.1772509090e+00	3.0420805651e-01
394               	movingWall	6.0927381395e-01	2.7582109010e+00	1.0345687945e+00
394               	fixedWalls	2.3686361814e-03	2.1786613575e+00	3.0889189307e-01
396               	movingWall	6.1384078600e-01	2.7582667590e+00	1.0340934703e+00
396               	fixedWalls	1.3899496450e-03	2.1774833402e+00	3.0838320018e-01
398               	movingWall	6.1716354760e-01	2.7582625211e+00	1.0355120671e+00
398               	fixedWalls	4.2615895664e-04	2.1777196095e+00	3.0380810973e-01
400               	movingWall	6.0714931084e-01	2.7582249173e+00	1.0337406354e+00
400               	fixedWalls	2.5249782187e-03	2.1784309943e+00	3.0648372323e-01
402               	movingWall	6.1684369054e-01	2.7582878679e+00	1.0344330225e+00
402               	fixedWalls	6.9804054073e-04	2.1770417499e+00	3.0694463766e-01
404               	movingWall	6.1209116146e-01	2.7582262893e+00	1.0350926036e+00
404               	fixedWalls	1.2368853565e-03	2.1784252704e+00	3.0692778324e-01
406               	movingWall	6.0902129554e-01	2.7582488820e+00	1.0335384255e+00
406               	fixedWalls	1.9876160437e-03	2.1779773331e+00	3.0758638598e-01
408               	movingWall	6.1979754290e-01	2.7582740985e+00	1.0357031217e+00
408               	fixedWalls	1.0610234672e-03	2.1773985056e+00	3.0341850940e-01
410               	movingWall	6.0830680691e-01	2.7582106507e+00	1.0343843330e+00
410               	fixedWalls	2.3185080791e-03	2.1786334859e+00	3.0874125512e-01
412               	movingWall	6.1526301474e-01	2.7582736361e+00	1.0342407838e+00
412               	fixedWalls	1.1102930840e-03	2.1773383414e+00	3.0832304745e-01
414               	movingWall	6.1523827499e-01	2.7582563891e+00	1.0352977464e+00
414               	fixedWalls	1.5136977537e-03	2.1778557998e+00	3.0532824498e-01
416               	movingWall	6.0716568939e-01	2.7582332467e+00	1.0335457663e+00
416               	fixedWalls	2.4352251128e-03	2.1783525482e+00	3.0684090630e-01
418               	movingWall	6.1719284067e-01	2.7582877539e+00	1.0347055807e+00
418               	fixedWalls	7.6565827523e-04	2.1770675260e+00	3.0614666145e-01
420               	movingWall	6.1100387720e-01	2.7582175127e+00	1.0350224955e+00
420               	fixedWalls	2.5785429872e-03	2.1786222867e+00	3.0821085540e-01
422               	movingWall	6.1061856037e-01	2.7582542087e+00	1.0338101933e+00
422               	fixedWalls	1.8111332272e-03	2.1778094204e+00	3.0815967903e-01
424               	movingWall	6.1952108791e-01	2.7582695108e+00	1.0358409072e+00
424               	fixedWalls	1.3481565123e-03	2.1775544142e+00	3.0263471843e-01
426               	movingWall	6.0731051652e-01	2.7582144954e+00	1.0341289308e+00
426               	fixedWalls	1.0004310579e-03	2.1785503939e+00	3.0769699165e-01
428               	movingWall	6.1624726675e-01	2.7582831582e+00	1.0342707686e+00
428               	fixedWalls	7.7274389564e-04	2.1771526155e+00	3.0797010767e-01
430               	movingWall	6.1324187539e-01	2.7582451715e+00	1.0351281022e+00
430               	fixedWalls	2.1947531930e-03	2.1780781901e+00	3.0604486356e-01
432               	movingWall	6.0750919989e-01	2.7582420668e+00	1.0334009940e+00
432               	fixedWalls	2.2896655939e-03	2.1782181453e+00	3.0720435191e-01
434               	movingWall	6.1824272335e-01	2.7582820610e+00	1.0352343583e+00
434               	fixedWalls	8.8206648098e-04	2.1772148068e+00	3.0498928360e-01
436               	movingWall	6.0960510244e-01	2.7582107749e+00	1.0348177583e+00
436               	fixedWalls	1.2817417899e-03	2.1787387792e+00	3.0910314577e-01
438               	movingWall	6.1343267892e-01	2.7582617241e+00	1.0342302190e+00
438               	fixedWalls	1.4673938311e-03	2.1775913735e+00	3.0882789190e-01
440               	movingWall	6.1790960479e-01	2.7582649554e+00	1.0357028450e+00
440               	fixedWalls	9.8585156640e-04	2.1777038761e+00	3.0304716839e-01
442               	movingWall	6.0698709468e-01	2.7582233700e+00	1.0338866048e+00
442               	fixedWalls	2.5280311931e-03	2.1784344820e+00	3.0705763898e-01
444               	movingWall	6.1647105861e-01	2.7582909282e+00	1.0343204068e+00
444               	fixedWalls	5.5575239577e-04	2.1770130985e+00	3.0714641742e-01
446               	movingWall	6.1145701757e-01	2.7582299292e+00	1.0350325167e+00
446               	fixedWalls	1.5796282902e-03	2.1783935870e+00	3.0695525293e-01
448               	movingWall	6.0844270161e-01	2.7582502954e+00	1.0334495141e+00
448               	fixedWalls	1.8737500788e-03	2.1780102861e+00	3.0714787355e-01
450               	movingWall	6.1956661563e-01	2.7582709734e+00	1.0358832517e+00
450               	fixedWalls	9.7737563733e-04	2.1774875671e+00	3.0341254519e-01
452               	movingWall	6.0812448012e-01	2.7582083927e+00	1.0345202864e+00
452               	fixedWalls	2.3189510692e-03	2.1787190516e+00	3.0889889055e-01
454               	movingWall	6.1636213679e-01	2.7582707403e+00	1.0346178333e+00
454               	fixedWalls	9.9644300713e-04	2.1773777318e+00	3.0862951559e-01
456               	movingWall	6.1493866989e-01	2.7582561447e+00	1.0353304995e+00
456               	fixedWalls	1.4944331336e-03	2.1778870666e+00	3.0582762442e-01
458               	movingWall	6.0735006687e-01	2.7582372882e+00	1.0335947726e+00
458               	fixedWalls	2.0027681144e-03	2.1782810682e+00	3.0751007083e-01
460               	movingWall	6.1631711900e-01	2.7582930955e+00	1.0345491589e+00
460               	fixedWalls	7.5851007259e-04	2.1770176015e+00	3.0585398236e-01
462               	movingWall	6.0988614676e-01	2.7582172191e+00	1.0348849696e+00
462               	fixedWalls	1.8345023712e-03	2.1787151638e+00	3.0876783335e-01
464               	movingWall	6.1040472280e-01	2.7582579269e+00	1.0337920964e+00
464               	fixedWalls	1.7286778090e-03	2.1777684137e+00	3.0822576588e-01
466               	movingWall	6.1951340034e-01	2.7582592829e+00	1.0362111421e+00
466               	fixedWalls	1.3073477098e-03	2.1777975849e+00	3.0243701663e-01
468               	movingWall	6.0704551085e-01	2.7582134499e+00	1.0342007466e+00
468               	fixedWalls	2.2436679441e-03	2.1785597130e+00	3.0696808250e-01
470               	movingWall	6.1820006213e-01	2.7582835084e+00	1.0347233720e+00
470               	fixedWalls	3.4454544994e-04	2.1771449194e+00	3.0814617485e-01
472               	movingWall	6.1152062763e-01	2.7582427348e+00	1.0348835705e+00
472               	fixedWalls	1.3510432882e-03	2.1781160092e+00	3.0691221222e-01
474               	movingWall	6.0798248591e-01	2.7582536164e+00	1.0332639347e+00
474               	fixedWalls	2.1187484381e-03	2.1780394388e+00	3.0707123993e-01
476               	movingWall	6.1656704666e-01	2.7582854044e+00	1.0350575807e+00
476               	fixedWalls	7.2606813151e-04	2.1772437574e+00	3.0383899968e-01
478               	movingWall	6.0832158735e-01	2.7582109954e+00	1.0345873730e+00
478               	fixedWalls	2.3753354306e-03	2.1788760035e+00	3.0944948646e-01
480               	movingWall	6.1445953550e-01	2.7582644862e+00	1.0345335507e+00
480               	fixedWalls	1.3113802102e-03	2.1775183241e+00	3.0902434348e-01
482               	movingWall	6.1763562803e-01	2.7582501942e+00	1.0360400634e+00
482               	fixedWalls	4.2532127068e-04	2.1780282197e+00	3.0421151436e-01
484               	movingWall	6.0770510718e-01	2.7582271692e+00	1.0340473587e+00
484               	fixedWalls	2.3829912749e-03	2.1783056775e+00	3.0888793881e-01
486               	movingWall	6.1802393564e-01	2.7582958755e+00	1.0346218868e+00
486               	fixedWalls	2.7155378847e-04	2.1769589361e+00	3.0659927966e-01
488               	movingWall	6.0910085936e-01	2.7582283825e+00	1.0345842646e+00
488               	fixedWalls	1.4415914706e-03	2.1784013086e+00	3.0875673574e-01
490               	movingWall	6.0905216345e-01	2.7582662401e+00	1.0332249747e+00
490               	fixedWalls	1.4414372474e-03	2.1777250898e+00	3.0684197806e-01
492               	movingWall	6.1759162413e-01	2.7582638222e+00	1.0359101851e+00
492               	fixedWalls	6.8285135104e-04	2.1777300875e+00	3.0227741471e-01
494               	movingWall	6.0717330759e-01	2.7582097785e+00	1.0343283364e+00
494               	fixedWalls	2.7142140775e-03	2.1788140577e+00	3.0781706488e-01
496               	movingWall	6.1946657020e-01	2.7582676358e+00	1.0354613925e+00
496               	fixedWalls	6.8908820765e-04	2.1773773294e+00	3.0864863976e-01
498               	movingWall	6.1379439770e-01	2.7582390854e+00	1.0354675343e+00
498               	fixedWalls	2.1461954955e-03	2.1781913253e+00	3.0752717206e-01
500               	movingWall	6.0943639080e-01	2.7582471324e+00	1.0338934600e+00
500               	fixedWalls	2.0506892986e-03	2.1780246608e+00	3.0874828811e-01
