# y+ ()           
# Time            	patch             	min               	max               	average           
72                	movingWall	6.2209334022e-01	2.7582660025e+00	1.0307094869e+00
72                	fixedWalls	1.2552468444e-03	2.1761982967e+00	3.1658758520e-01
74                	movingWall	6.3380190452e-01	2.7582459195e+00	1.0336618717e+00
74                	fixedWalls	4.7091478708e-04	2.1758544081e+00	2.9946333984e-01
76                	movingWall	6.2305335196e-01	2.7582686457e+00	1.0301365474e+00
76                	fixedWalls	8.6378022307e-04	2.1760590593e+00	2.9829490371e-01
78                	movingWall	6.2774060122e-01	2.7582236633e+00	1.0339920557e+00
78                	fixedWalls	2.0385936755e-03	2.1764274314e+00	3.0178091306e-01
80                	movingWall	6.1973694666e-01	2.7582904974e+00	1.0308561819e+00
80                	fixedWalls	3.3898529138e-04	2.1755869262e+00	3.0512127181e-01
82                	movingWall	6.3220997242e-01	2.7581881962e+00	1.0340799922e+00
82                	fixedWalls	3.0279595667e-04	2.1766640768e+00	3.1710706223e-01
84                	movingWall	6.2326919713e-01	2.7582735852e+00	1.0319559094e+00
84                	fixedWalls	2.4219034511e-03	2.1759310926e+00	3.0327769156e-01
86                	movingWall	6.1374478018e-01	2.7583440662e+00	1.0281969217e+00
86                	fixedWalls	1.0623105951e-03	2.1752602461e+00	3.0142551515e-01
88                	movingWall	6.2164269348e-01	2.7582610931e+00	1.0330143598e+00
88                	fixedWalls	1.4061753461e-03	2.1767373233e+00	2.9742335099e-01
90                	movingWall	6.2948966394e-01	2.7582016170e+00	1.0340985332e+00
90                	fixedWalls	2.1546864745e-03	2.1768234995e+00	3.1839277225e-01
92                	movingWall	6.1237206439e-01	2.7582833602e+00	1.0307588742e+00
92                	fixedWalls	2.7884757120e-03	2.1763230418e+00	3.0718775064e-01
94                	movingWall	6.3240543819e-01	2.7582145205e+00	1.0343006207e+00
94                	fixedWalls	1.9514427816e-03	2.1775121374e+00	3.0263739211e-01
96                	movingWall	6.2015914490e-01	2.7582580705e+00	1.0334519039e+00
96                	fixedWalls	2.6682547688e-03	2.1767189698e+00	3.0207310686e-01
98                	movingWall	6.1601753847e-01	2.7582859757e+00	1.0305506962e+00
98                	fixedWalls	1.9038011540e-03	2.1767615194e+00	3.0692304140e-01
100               	movingWall	6.1360625257e-01	2.7583023805e+00	1.0302516274e+00
100               	fixedWalls	1.6386830703e-03	2.1763522197e+00	3.0562829895e-01
102               	movingWall	6.2535213849e-01	2.7582347137e+00	1.0331646793e+00
102               	fixedWalls	2.0056098354e-03	2.1764128798e+00	3.0586475087e-01
104               	movingWall	6.1470918954e-01	2.7583446298e+00	1.0313473984e+00
104               	fixedWalls	6.4449178217e-04	2.1759341070e+00	3.0017723748e-01
106               	movingWall	6.2129766110e-01	2.7582796363e+00	1.0322346106e+00
106               	fixedWalls	1.5259745680e-03	2.1761892951e+00	3.0203433913e-01
108               	movingWall	6.1778786169e-01	2.7582542949e+00	1.0327340102e+00
108               	fixedWalls	1.8969324206e-03	2.1765381346e+00	3.0431598842e-01
110               	movingWall	6.1904234047e-01	2.7582207952e+00	1.0324212297e+00
110               	fixedWalls	2.0809156875e-03	2.1772701532e+00	3.0296428683e-01
112               	movingWall	6.1050259677e-01	2.7582881211e+00	1.0306015763e+00
112               	fixedWalls	2.0337749637e-03	2.1770376506e+00	2.9708592805e-01
114               	movingWall	6.1721779852e-01	2.7582714097e+00	1.0318095890e+00
114               	fixedWalls	1.7897848400e-03	2.1768134921e+00	3.0028821722e-01
116               	movingWall	6.1611608481e-01	2.7583033639e+00	1.0320015245e+00
116               	fixedWalls	1.9607733889e-03	2.1763149074e+00	3.0037162917e-01
118               	movingWall	6.1559924502e-01	2.7582943851e+00	1.0314134376e+00
118               	fixedWalls	1.3257655482e-03	2.1764425249e+00	3.0498130548e-01
120               	movingWall	6.1536833238e-01	2.7582946986e+00	1.0321807439e+00
120               	fixedWalls	2.1141815360e-03	2.1764039312e+00	2.9768577142e-01
122               	movingWall	6.2150923664e-01	2.7582273022e+00	1.0337655801e+00
122               	fixedWalls	1.7394765823e-03	2.1770561425e+00	3.0200922184e-01
124               	movingWall	6.1460597687e-01	2.7582503761e+00	1.0327056211e+00
124               	fixedWalls	1.9596383044e-03	2.1769184141e+00	3.0003954889e-01
126               	movingWall	6.1406274006e-01	2.7582986029e+00	1.0310640878e+00
126               	fixedWalls	2.1686861556e-03	2.1765054755e+00	3.0269472518e-01
128               	movingWall	6.1462983638e-01	2.7582950196e+00	1.0320101675e+00
128               	fixedWalls	1.8794847394e-03	2.1765205689e+00	3.0060076956e-01
130               	movingWall	6.1277533091e-01	2.7582922584e+00	1.0313461238e+00
