# Setup from log.interADMFoam
# Benchmark: true
# Qin_: 178.467
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 1.92901e-08
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
4.56799,1.35424e-07,0.0519507,9.01209,1.10184e-05,-1.69092e-10,1.6531,6.34041e-06,13.4507,-0.000794605
4.66799,1.35424e-07,0.051951,9.01217,1.10181e-05,-1.69079e-10,1.65309,6.34181e-06,13.4497,-0.000792762
4.76799,1.35424e-07,0.0519513,9.01225,1.10178e-05,-1.69065e-10,1.65308,6.34311e-06,13.4487,-0.00079093
4.868,1.35424e-07,0.0519517,9.01233,1.10175e-05,-1.69052e-10,1.65308,6.34452e-06,13.4476,-0.000789095
4.968,1.35424e-07,0.0519521,9.01241,1.10172e-05,-1.69039e-10,1.65307,6.34597e-06,13.4466,-0.000787258
5.068,1.35425e-07,0.0519524,9.01249,1.10169e-05,-1.69025e-10,1.65306,6.34731e-06,13.4456,-0.000785436
5.168,1.35425e-07,0.0519527,9.01257,1.10166e-05,-1.69012e-10,1.65305,6.34869e-06,13.4446,-0.000783615
5.268,1.35425e-07,0.051953,9.01265,1.10163e-05,-1.68999e-10,1.65304,6.34996e-06,13.4436,-0.000781802
5.368,1.35425e-07,0.0519534,9.01273,1.1016e-05,-1.68986e-10,1.65303,6.35136e-06,13.4426,-0.000779988
5.468,1.35425e-07,0.0519537,9.01281,1.10157e-05,-1.68972e-10,1.65303,6.3527e-06,13.4415,-0.00077818
5.568,1.35425e-07,0.0519541,9.0129,1.10154e-05,-1.68959e-10,1.65302,6.35424e-06,13.4405,-0.000776356
5.668,1.35426e-07,0.0519544,9.01297,1.10151e-05,-1.68946e-10,1.65301,6.35549e-06,13.4395,-0.000774565
5.768,1.35426e-07,0.0519548,9.01305,1.10148e-05,-1.68932e-10,1.653,6.35682e-06,13.4385,-0.000772769
5.868,1.35426e-07,0.0519551,9.01313,1.10146e-05,-1.68919e-10,1.65299,6.35823e-06,13.4375,-0.000770968
5.968,1.35426e-07,0.0519554,9.0132,1.10143e-05,-1.68906e-10,1.65298,6.3595e-06,13.4365,-0.000769187
6.068,1.35426e-07,0.0519557,9.01328,1.1014e-05,-1.68893e-10,1.65298,6.36082e-06,13.4355,-0.000767401
6.168,1.35426e-07,0.0519562,9.01337,1.10137e-05,-1.68879e-10,1.65297,6.36238e-06,13.4345,-0.0007656
6.268,1.35427e-07,0.0519566,9.01345,1.10134e-05,-1.68865e-10,1.65296,6.36387e-06,13.4335,-0.000763807
6.368,1.35427e-07,0.051957,9.01354,1.10131e-05,-1.68852e-10,1.65295,6.36541e-06,13.4326,-0.000762013
6.468,1.35427e-07,0.0519574,9.01362,1.10128e-05,-1.68838e-10,1.65294,6.36684e-06,13.4316,-0.000760233
6.568,1.35428e-07,0.0519579,9.01371,1.10125e-05,-1.68824e-10,1.65293,6.36858e-06,13.4306,-0.00075843
6.668,1.35428e-07,0.0519581,9.01379,1.10122e-05,-1.68811e-10,1.65293,6.36975e-06,13.4296,-0.000756679
6.768,1.35428e-07,0.0519583,9.01385,1.10119e-05,-1.68799e-10,1.65292,6.37069e-06,13.4286,-0.000754958
6.868,1.35428e-07,0.0519587,9.01393,1.10116e-05,-1.68786e-10,1.65291,6.37215e-06,13.4276,-0.000753189
6.968,1.35428e-07,0.051959,9.01401,1.10113e-05,-1.68772e-10,1.6529,6.37349e-06,13.4267,-0.000751437
7.068,1.35428e-07,0.0519594,9.01408,1.1011e-05,-1.68759e-10,1.65289,6.3749e-06,13.4257,-0.000749681
7.168,1.35428e-07,0.0519597,9.01416,1.10107e-05,-1.68746e-10,1.65288,6.37616e-06,13.4247,-0.000747942
7.268,1.35428e-07,0.0519599,9.01423,1.10104e-05,-1.68733e-10,1.65288,6.37738e-06,13.4237,-0.00074621
7.368,1.35428e-07,0.0519603,9.0143,1.10101e-05,-1.6872e-10,1.65287,6.37867e-06,13.4228,-0.000744478
7.468,1.35429e-07,0.0519606,9.01439,1.10098e-05,-1.68706e-10,1.65286,6.38013e-06,13.4218,-0.000742729
7.568,1.35429e-07,0.051961,9.01447,1.10096e-05,-1.68693e-10,1.65285,6.38158e-06,13.4208,-0.000740987
7.668,1.35429e-07,0.0519613,9.01454,1.10093e-05,-1.6868e-10,1.65284,6.38274e-06,13.4199,-0.000739275
7.768,1.35429e-07,0.0519616,9.01461,1.1009e-05,-1.68667e-10,1.65284,6.38392e-06,13.4189,-0.000737566
7.868,1.35429e-07,0.0519618,9.01468,1.10087e-05,-1.68654e-10,1.65283,6.38509e-06,13.4179,-0.000735859
7.968,1.35429e-07,0.0519621,9.01475,1.10084e-05,-1.68642e-10,1.65282,6.38632e-06,13.417,-0.000734151
8.068,1.35429e-07,0.0519624,9.01482,1.10081e-05,-1.68628e-10,1.65281,6.38758e-06,13.416,-0.000732443
8.168,1.35429e-07,0.0519628,9.0149,1.10078e-05,-1.68615e-10,1.6528,6.38902e-06,13.4151,-0.000730723
8.268,1.35429e-07,0.051963,9.01497,1.10075e-05,-1.68602e-10,1.6528,6.3901e-06,13.4141,-0.00072904
8.368,1.35429e-07,0.0519633,9.01504,1.10072e-05,-1.68589e-10,1.65279,6.3914e-06,13.4132,-0.00072734
8.468,1.35429e-07,0.0519637,9.01512,1.10069e-05,-1.68576e-10,1.65278,6.39272e-06,13.4122,-0.000725641
8.568,1.3543e-07,0.051964,9.01519,1.10066e-05,-1.68563e-10,1.65277,6.39407e-06,13.4113,-0.000723942
8.668,1.3543e-07,0.0519643,9.01526,1.10063e-05,-1.6855e-10,1.65276,6.3953e-06,13.4103,-0.000722259
8.768,1.3543e-07,0.0519647,9.01535,1.1006e-05,-1.68536e-10,1.65276,6.39683e-06,13.4094,-0.000720552
8.868,1.3543e-07,0.051965,9.01541,1.10057e-05,-1.68524e-10,1.65275,6.39801e-06,13.4085,-0.00071888
8.968,1.3543e-07,0.0519654,9.01549,1.10054e-05,-1.6851e-10,1.65274,6.39941e-06,13.4075,-0.00071719
9.068,1.3543e-07,0.0519657,9.01557,1.10052e-05,-1.68497e-10,1.65273,6.40083e-06,13.4066,-0.000715502
9.168,1.35431e-07,0.0519661,9.01564,1.10049e-05,-1.68484e-10,1.65272,6.40214e-06,13.4057,-0.000713829
9.268,1.35431e-07,0.0519665,9.01573,1.10046e-05,-1.6847e-10,1.65272,6.40365e-06,13.4047,-0.000712139
9.368,1.35431e-07,0.0519667,9.01579,1.10043e-05,-1.68457e-10,1.65271,6.4048e-06,13.4038,-0.000710486
9.468,1.35431e-07,0.051967,9.01586,1.1004e-05,-1.68444e-10,1.6527,6.40604e-06,13.4029,-0.00070883
9.568,1.35431e-07,0.0519673,9.01593,1.10037e-05,-1.68432e-10,1.65269,6.40712e-06,13.4019,-0.000707191
9.668,1.35431e-07,0.0519676,9.016,1.10034e-05,-1.68419e-10,1.65268,6.40851e-06,13.401,-0.000705527
9.768,1.35431e-07,0.051968,9.01608,1.10031e-05,-1.68405e-10,1.65268,6.40988e-06,13.4001,-0.000703867
9.868,1.35432e-07,0.0519683,9.01616,1.10028e-05,-1.68392e-10,1.65267,6.41124e-06,13.3992,-0.000702211
9.968,1.35432e-07,0.0519687,9.01623,1.10025e-05,-1.68379e-10,1.65266,6.41268e-06,13.3983,-0.000700553
10.068,1.35432e-07,0.0519691,9.01631,1.10022e-05,-1.68365e-10,1.65265,6.41401e-06,13.3973,-0.000698908
10.168,1.35432e-07,0.0519693,9.01637,1.10019e-05,-1.68353e-10,1.65264,6.41516e-06,13.3964,-0.000697284
10.268,1.35432e-07,0.0519696,9.01644,1.10017e-05,-1.6834e-10,1.65264,6.41639e-06,13.3955,-0.000695652
10.368,1.35432e-07,0.05197,9.01652,1.10014e-05,-1.68326e-10,1.65263,6.41783e-06,13.3946,-0.000694007
10.468,1.35432e-07,0.0519703,9.01659,1.10011e-05,-1.68314e-10,1.65262,6.41898e-06,13.3937,-0.000692393
10.568,1.35432e-07,0.0519706,9.01666,1.10008e-05,-1.68301e-10,1.65261,6.42023e-06,13.3928,-0.000690771
10.668,1.35432e-07,0.0519709,9.01673,1.10005e-05,-1.68288e-10,1.6526,6.42148e-06,13.3919,-0.000689153
10.768,1.35433e-07,0.0519713,9.0168,1.10002e-05,-1.68274e-10,1.6526,6.42285e-06,13.391,-0.000687528
10.868,1.35433e-07,0.0519715,9.01687,1.09999e-05,-1.68262e-10,1.65259,6.42396e-06,13.3901,-0.000685927
