"UMean:0","UMean:1","UMean:2","Points:1"
5.8831e-06,-6.6994e-07,2.4055,12.3
5.8823e-06,-6.7445e-07,2.4094,12.4
5.8814e-06,-6.7895e-07,2.4133,12.5
5.8806e-06,-6.8346e-07,2.4172,12.6
5.8797e-06,-6.8796e-07,2.4211,12.7
5.8788e-06,-6.9246e-07,2.425,12.8
5.878e-06,-6.9697e-07,2.4289,12.9
5.8771e-06,-7.0147e-07,2.4327,13.0
5.8763e-06,-7.0598e-07,2.4366,13.1
5.8754e-06,-7.1048e-07,2.4405,13.2
5.8746e-06,-7.1499e-07,2.4444,13.3
5.8737e-06,-7.1949e-07,2.4483,13.4
5.8729e-06,-7.24e-07,2.4522,13.5
5.872e-06,-7.285e-07,2.4561,13.6
5.8711e-06,-7.3301e-07,2.46,13.7
5.8703e-06,-7.3751e-07,2.4639,13.8
5.8694e-06,-7.4201e-07,2.4678,13.9
5.8686e-06,-7.4652e-07,2.4716,14.0
5.8677e-06,-7.5102e-07,2.4755,14.1
5.8669e-06,-7.5553e-07,2.4794,14.2
5.866e-06,-7.6003e-07,2.4833,14.3
5.8651e-06,-7.6454e-07,2.4872,14.4
5.8643e-06,-7.6904e-07,2.4911,14.5
5.8634e-06,-7.7355e-07,2.495,14.6
5.8626e-06,-7.7805e-07,2.4989,14.7
5.8617e-06,-7.8256e-07,2.5028,14.8
5.8609e-06,-7.8706e-07,2.5066,14.9
5.86e-06,-7.9156e-07,2.5105,15.0
5.8596e-06,-7.9609e-07,2.5137,15.1
5.8592e-06,-8.0062e-07,2.5169,15.2
5.8588e-06,-8.0515e-07,2.52,15.3
5.8584e-06,-8.0968e-07,2.5232,15.4
5.858e-06,-8.1421e-07,2.5264,15.5
5.8576e-06,-8.1874e-07,2.5295,15.6
5.8572e-06,-8.2327e-07,2.5327,15.7
5.8568e-06,-8.278e-07,2.5359,15.8
5.8564e-06,-8.3233e-07,2.5391,15.9
5.856e-06,-8.3686e-07,2.5422,16.0
5.8556e-06,-8.4139e-07,2.5454,16.1
